folder,model,file,path,precision,recall,f1,loose_precision,loose_recall,loose_f1,unlabeled_precision,unlabeled_recall,unlabeled_f1
gender_names,multi,female_names_test_6_results_multi.iob2,../predictions\gender_names\multi\female_names_test_6_results_multi.iob2,0.6741253051261188,0.5867563739376771,0.6274138583869747,0.8783563873067535,0.7604461756373938,0.6274138583869747,0.7137917005695688,0.6212818696883853,0.6274138583869747
gender_names,multi,female_names_test_7_results_multi.iob2,../predictions\gender_names\multi\female_names_test_7_results_multi.iob2,0.6729086098107063,0.5853399433427762,0.6260770760344664,0.8784856503154895,0.7611543909348442,0.6260770760344664,0.7132098514146142,0.6203966005665722,0.6260770760344664
gender_names,multi,female_names_test_8_results_multi.iob2,../predictions\gender_names\multi\female_names_test_8_results_multi.iob2,0.6769920521703688,0.5881728045325779,0.6294647086688774,0.879559812512737,0.7609773371104815,0.6294647086688774,0.7159160383126146,0.6219900849858357,0.6294647086688774
gender_names,multi,female_names_test_9_results_multi.iob2,../predictions\gender_names\multi\female_names_test_9_results_multi.iob2,0.6746128769356153,0.5862252124645893,0.6273209549071618,0.8791768541157294,0.7604461756373938,0.6273209549071618,0.715362673186634,0.6216359773371105,0.6273209549071618
gender_names,multi,male_names_test_0_results_multi.iob2,../predictions\gender_names\multi\male_names_test_0_results_multi.iob2,0.681734880879658,0.5927762039660056,0.6341509612652714,0.8851557727550398,0.7662889518413598,0.6341509612652714,0.7161474241498677,0.6226983002832861,0.6341509612652714
gender_names,multi,male_names_test_1_results_multi.iob2,../predictions\gender_names\multi\male_names_test_1_results_multi.iob2,0.6779833299451108,0.5904745042492918,0.631210371912558,0.8863590160601749,0.7673512747875354,0.631210371912558,0.712339906485058,0.6203966005665722,0.631210371912558
gender_names,multi,male_names_test_2_results_multi.iob2,../predictions\gender_names\multi\male_names_test_2_results_multi.iob2,0.6782449725776966,0.5911827195467422,0.631728313309999,0.8848263254113345,0.7661118980169972,0.631728313309999,0.712370505789153,0.62092776203966,0.631728313309999
gender_names,multi,male_names_test_3_results_multi.iob2,../predictions\gender_names\multi\male_names_test_3_results_multi.iob2,0.6765663140764849,0.5888810198300283,0.6296857251041272,0.8818144833197722,0.7638101983002833,0.6296857251041272,0.7139951179820992,0.6214589235127479,0.6296857251041272
gender_names,multi,male_names_test_4_results_multi.iob2,../predictions\gender_names\multi\male_names_test_4_results_multi.iob2,0.6803495224547856,0.5927762039660056,0.6335509508941243,0.8859987807356229,0.7666430594900849,0.6335509508941243,0.7140825035561877,0.6221671388101983,0.6335509508941243
gender_names,multi,male_names_test_5_results_multi.iob2,../predictions\gender_names\multi\male_names_test_5_results_multi.iob2,0.677576743240496,0.5901203966005666,0.6308318349578877,0.8845293758894084,0.7652266288951841,0.6308318349578877,0.7127464931896726,0.6207507082152974,0.6308318349578877
gender_names,multi,male_names_test_6_results_multi.iob2,../predictions\gender_names\multi\male_names_test_6_results_multi.iob2,0.6758130081300813,0.5887039660056658,0.6292581377744133,0.8819105691056911,0.7641643059490085,0.6292581377744133,0.7142276422764228,0.6221671388101983,0.6292581377744133
gender_names,multi,male_names_test_7_results_multi.iob2,../predictions\gender_names\multi\male_names_test_7_results_multi.iob2,0.6768416768416768,0.5888810198300283,0.6298049611815945,0.8835978835978836,0.7645184135977338,0.6298049611815945,0.7124542124542125,0.6198654390934845,0.6298049611815945
gender_names,multi,male_names_test_8_results_multi.iob2,../predictions\gender_names\multi\male_names_test_8_results_multi.iob2,0.6790148585385711,0.5906515580736544,0.6317583562162674,0.8858131487889274,0.7662889518413598,0.6317583562162674,0.7130063097903522,0.6202195467422096,0.6317583562162674
gender_names,multi,male_names_test_9_results_multi.iob2,../predictions\gender_names\multi\male_names_test_9_results_multi.iob2,0.6814754432443448,0.5920679886685553,0.633633349123638,0.8866924801304259,0.7669971671388102,0.633633349123638,0.7144895047890768,0.6207507082152974,0.633633349123638
location_exonym_endonym,mono,location_endonym_results_mono.iob2,../predictions\location_exonym_endonym\mono\location_endonym_results_mono.iob2,0.6408859840232389,0.625,0.6328433130154177,0.8369644153957879,0.8206444759206799,0.6328433130154177,0.6984386347131445,0.6811260623229461,0.6328433130154177
location_exonym_endonym,mono,location_latin_results_mono.iob2,../predictions\location_exonym_endonym\mono\location_latin_results_mono.iob2,0.6350839198700595,0.6230524079320113,0.6290106354455268,0.8231366179390002,0.8125,0.6290106354455268,0.7029417072730554,0.6896246458923513,0.6290106354455268
location_exonym_endonym,multi,location_endonym_results_multi.iob2,../predictions\location_exonym_endonym\multi\location_endonym_results_multi.iob2,0.6397540983606558,0.5527620396600567,0.5930851063829787,0.8696721311475409,0.7480524079320113,0.5930851063829787,0.6844262295081968,0.5913597733711048,0.5930851063829787
location_exonym_endonym,multi,location_latin_results_multi.iob2,../predictions\location_exonym_endonym\multi\location_latin_results_multi.iob2,0.6396063960639606,0.5524079320113314,0.592817784533536,0.8521935219352194,0.7328257790368272,0.592817784533536,0.6982369823698237,0.6030453257790368,0.592817784533536
original_test,mono,test_conll_results_mono.iob2,../predictions\original_test\mono\test_conll_results_mono.iob2,0.6731391585760518,0.6628895184135978,0.6679750223015165,0.8698309960445882,0.8604815864022662,0.6679750223015165,0.7103559870550162,0.6995396600566572,0.6679750223015165
original_test,multi,test_conll_results_multi.iob2,../predictions\original_test\multi\test_conll_results_multi.iob2,0.6655102040816326,0.5773725212464589,0.6183162684869169,0.8857142857142857,0.7645184135977338,0.6183162684869169,0.6997959183673469,0.6071175637393768,0.6183162684869169
person,mono,african_conll_10_results_mono.iob2,../predictions\person\mono\african_conll_10_results_mono.iob2,0.6684645810859403,0.65828611898017,0.6633363068688671,0.8552678892484717,0.8464943342776204,0.6633363068688671,0.7110751528227256,0.7002478753541076,0.6633363068688671
person,mono,african_conll_1_results_mono.iob2,../predictions\person\mono\african_conll_1_results_mono.iob2,0.6794756688813073,0.669971671388102,0.6746902023714006,0.8617346022625247,0.8537535410764873,0.6746902023714006,0.7243670317830849,0.7142351274787535,0.6746902023714006
person,mono,african_conll_2_results_mono.iob2,../predictions\person\mono\african_conll_2_results_mono.iob2,0.6712181099532878,0.6614730878186968,0.6663099696807562,0.8609414301113906,0.8528682719546742,0.6663099696807562,0.7139777218828602,0.7036118980169972,0.6663099696807562
person,mono,african_conll_3_results_mono.iob2,../predictions\person\mono\african_conll_3_results_mono.iob2,0.6749237120804165,0.6657223796033994,0.6702914698279704,0.8610662358642972,0.8530453257790368,0.6702914698279704,0.7199784598815293,0.7101628895184136,0.6702914698279704
person,mono,african_conll_4_results_mono.iob2,../predictions\person\mono\african_conll_4_results_mono.iob2,0.6695479920763551,0.65828611898017,0.6638692973841621,0.8602557176301099,0.8505665722379604,0.6638692973841621,0.7134882045741041,0.7014872521246459,0.6638692973841621
person,mono,african_conll_5_results_mono.iob2,../predictions\person\mono\african_conll_5_results_mono.iob2,0.6699604743083004,0.6602337110481586,0.6650615302300695,0.8596837944664032,0.8519830028328612,0.6650615302300695,0.7134387351778656,0.7030807365439093,0.6650615302300695
person,mono,african_conll_6_results_mono.iob2,../predictions\person\mono\african_conll_6_results_mono.iob2,0.6734290843806104,0.664128895184136,0.6687466571581386,0.8628366247755835,0.8541076487252125,0.6687466571581386,0.7161579892280072,0.7062677053824362,0.6687466571581386
