,folder,model,modified_ner,sub_categories,file,path,precision,recall,f1,loose_precision,loose_recall,loose_f1,unlabeled_precision,unlabeled_recall,unlabeled_f1
109,person,multi,PER,american,american_conll_1_results_multi.iob2,../predictions\person\multi\american_conll_1_results_multi.iob2,0.6581795035009548,0.6398514851485149,0.6488860997803577,0.9408020369191598,0.8978960396039604,0.9188484327980755,0.7153642113854315,0.6208606339649372,0.664770572620402
110,person,multi,PER,american,american_conll_2_results_multi.iob2,../predictions\person\multi\american_conll_2_results_multi.iob2,0.671437461107654,0.6697703289882061,0.670602858918583,0.9365276913503423,0.9155803848541278,0.9259355812867058,0.7186544342507645,0.6247784473590925,0.6684365222338104
111,person,multi,PER,american,american_conll_3_results_multi.iob2,../predictions\person\multi\american_conll_3_results_multi.iob2,0.6732108929702343,0.6577970297029703,0.6654147104851329,0.9392020265991133,0.9040841584158416,0.9213085636980708,0.7210440456769984,0.6261731893040553,0.6702682210217041
112,person,multi,PER,american,american_conll_4_results_multi.iob2,../predictions\person\multi\american_conll_4_results_multi.iob2,0.6725,0.6654298082869512,0.6689462231893069,0.94,0.9158936301793444,0.9277902551833068,0.722131482237648,0.6262393767705382,0.6707756495353688
113,person,multi,PER,american,american_conll_5_results_multi.iob2,../predictions\person\multi\american_conll_5_results_multi.iob2,0.6553245116572148,0.6435643564356436,0.6493911957539806,0.9388783868935098,0.9071782178217822,0.9227561274100823,0.7152466367713004,0.6213918894988489,0.6650241637449066
114,person,multi,PER,american,american_conll_6_results_multi.iob2,../predictions\person\multi\american_conll_6_results_multi.iob2,0.6607482561826252,0.6452012383900929,0.6528822055137845,0.9359543436905516,0.9058823529411765,0.9206728529825144,0.7186988543371522,0.6222104144527099,0.6669831023352952
115,person,multi,PER,american,american_conll_7_results_multi.iob2,../predictions\person\multi\american_conll_7_results_multi.iob2,0.6728971962616822,0.6683168316831684,0.670599192797268,0.9376947040498442,0.9176980198019802,0.9275886037742906,0.7212244897959184,0.6258190189481141,0.6701431686735565
116,person,multi,PER,american,american_conll_8_results_multi.iob2,../predictions\person\multi\american_conll_8_results_multi.iob2,0.6681388012618297,0.6553217821782178,0.6616682286785379,0.9375394321766561,0.9053217821782178,0.9211489861407207,0.7207924836601307,0.624933593058261,0.6694489234563218
117,person,multi,PER,american,american_conll_9_results_multi.iob2,../predictions\person\multi\american_conll_9_results_multi.iob2,0.6702328508495909,0.6590346534653465,0.6645865834633384,0.9395846444304594,0.9084158415841584,0.9237373928949244,0.7197387221882017,0.6244023375243493,0.6686895505404893
118,person,multi,PER,arabic,arabic_conll_10_results_multi.iob2,../predictions\person\multi\arabic_conll_10_results_multi.iob2,0.6746081504702194,0.6654298082869512,0.6699875466998755,0.9379310344827586,0.9183673469387755,0.9280460990219122,0.7227217000408663,0.6262393767705382,0.6710301650540694
